id_item,id_pedido,id_produto,quantidade,valor_unitario
1,1,117,2,239.24
2,2,7,2,618.94
3,3,268,4,1571.26
4,4,198,3,316.44
5,5,120,4,2399.54
6,5,261,1,58.85
7,5,188,2,205.9
8,5,100,3,1760.51
9,5,93,3,202.08
10,6,275,4,728.32
11,7,58,2,87.44
12,8,209,3,4102.28
13,9,198,4,281.9
14,10,239,1,366.24
15,11,164,2,191.42
16,12,177,2,175.39
17,12,33,2,259.18
18,13,190,1,324.34
19,13,109,4,2063.32
20,13,191,4,206.54
21,14,220,2,572.02
22,15,119,1,2657.19
23,16,147,2,563.6
24,17,292,4,1583.44
25,18,191,1,212.25
26,18,179,1,30.93
27,18,228,4,3901.23
28,18,269,1,2675.97
29,19,144,1,204.5
30,20,1,1,1373.76
31,21,290,2,190.35
32,21,142,1,945.09
33,22,120,4,2230.04
34,22,215,3,1206.6
35,22,253,4,106.93
36,23,167,3,3306.36
37,23,179,4,28.82
38,23,161,2,180.3
39,24,74,3,960.64
40,24,106,2,237.58
41,25,61,3,1754.37
42,26,54,3,300.84
43,27,252,3,126.03
44,27,27,2,1500.51
45,28,70,1,1562.17
46,29,173,2,42.58
47,29,92,1,218.04
48,30,253,4,119.11
49,30,37,4,52.68
50,30,258,1,265.78
51,31,284,1,292.34
52,31,295,4,4100.66
53,31,80,4,69.77
54,32,283,4,2432.72
55,33,156,2,55.57
56,33,75,2,35.41
57,34,128,1,428.83
58,34,92,4,186.18
59,35,38,1,1658.18
60,35,154,4,3205.79
61,36,80,4,66.19
62,37,91,1,4328.46
63,37,297,2,331.17
64,38,178,2,247.99
65,38,64,2,1741.84
66,38,78,4,64.99
67,38,23,2,163.62
68,39,226,4,916.79
69,39,39,4,293.11
70,39,36,4,125.69
71,40,197,2,3665.78
72,40,142,2,882.66
73,41,264,4,1064.84
74,41,57,1,4156.47
75,41,144,3,218.08
76,41,197,2,3591.75
77,42,148,4,4606.32
78,42,100,1,1814.54
79,43,61,1,1898.93
80,44,203,1,2775.12
81,45,218,4,210.46
82,45,144,1,215.56
83,46,182,3,1138.71
84,47,290,3,182.49
85,47,191,3,210.16
86,48,100,4,1876.86
87,49,254,1,309.46
88,49,215,3,1206.1
89,50,249,1,909.04
90,50,224,2,476.83
91,50,204,1,1266.06
92,50,182,3,1260.98
93,51,20,2,1442.83
94,52,91,1,4024.26
95,52,137,4,4976.68
96,52,235,2,120.18
97,53,31,3,1091.14
98,54,181,3,61.33
99,54,75,1,37.83
100,55,289,2,866.31
101,55,102,1,191.12
102,56,63,3,4235.23
103,57,170,3,4988.4
104,58,283,1,2239.39
105,59,14,3,1418.79
106,60,110,1,344.55
107,60,282,3,2713.41
108,61,11,2,4070.02
109,62,250,2,1103.34
110,62,121,3,103.44
111,62,124,3,1103.26
112,63,174,3,1048.5
113,64,288,3,313.47
114,64,82,3,73.27
115,65,159,3,1243.93
116,65,2,4,255.66
117,65,174,3,1093.28
118,66,170,1,4354.11
119,66,34,1,33.18
120,67,231,4,283.3
121,67,296,4,1085.19
122,67,215,2,1420.64
123,67,145,1,341.57
124,67,58,2,96.56
125,68,21,3,2244.11
126,69,285,3,393.15
127,69,8,4,1245.35
128,69,133,3,608.15
129,70,46,3,1900.66
130,71,31,1,1083.62
131,71,157,1,2854.79
132,71,38,1,1598.05
133,71,94,3,281.85
134,72,169,4,824.05
135,73,163,4,1383.76
136,73,178,4,247.64
137,73,224,3,464.84
138,74,223,1,811.07
139,74,9,1,3798.46
140,74,293,4,341.63
141,75,139,3,1111.76
142,75,110,3,341.18
143,76,216,4,1029.1
144,77,8,1,1401.38
145,77,102,2,214.74
146,77,292,4,1545.28
147,78,249,1,949.26
148,78,103,2,1247.3
149,79,230,1,273.68
150,79,64,4,1767.46
151,80,186,1,946.42
