id_pedido,id_cliente,data_pedido,forma_pagamento,status_pedido,id_localizacao,desconto,frete
1,647,2022-06-13,Pix,Entregue,12,10,33.74
2,1826,2026-01-29,Pix,Pendente,221,5,38.67
3,2038,2022-03-09,Pix,Entregue,102,0,8.69
4,3406,2025-08-28,Cartão de Crédito,Enviado,137,30,38.75
5,1154,2023-02-23,Pix,Pago,45,0,31.93
6,1871,2026-01-06,Boleto,Entregue,119,30,30.55
7,3674,2023-10-11,Cartão de Débito,Entregue,138,0,27.25
8,134,2021-07-04,Pix,Entregue,105,0,16.5
9,3613,2020-10-04,Boleto,Enviado,131,15,42.51
10,3919,2023-11-23,Cartão de Débito,Entregue,132,10,31.74
11,1418,2022-08-03,Pix,Entregue,135,5,9.07
12,4426,2023-04-27,Cartão de Débito,Enviado,180,0,11.36
13,3059,2020-08-27,Cartão de Crédito,Pago,179,30,25.12
14,2134,2024-08-22,Cartão de Crédito,Pago,258,10,9.85
15,3611,2021-09-23,Pix,Entregue,114,0,14.66
16,4792,2023-11-06,Pix,Entregue,48,30,34.81
17,1538,2025-01-22,Cartão de Débito,Entregue,240,0,11.18
18,344,2022-08-23,Cartão de Crédito,Enviado,60,0,32.78
19,1848,2021-09-10,Cartão de Crédito,Entregue,106,15,14.59
20,1415,2021-12-19,Cartão de Crédito,Entregue,254,5,28.63
21,2370,2021-09-04,Pix,Entregue,253,10,29.87
22,1602,2022-04-08,Cartão de Crédito,Pendente,202,0,19.28
23,1362,2020-02-12,Pix,Entregue,36,15,10.64
24,1714,2021-10-17,Pix,Entregue,16,0,24.74
25,4647,2021-09-21,Cartão de Crédito,Entregue,251,0,37.95
26,1292,2021-09-10,Pix,Pago,231,20,16.08
27,4765,2024-07-05,Cartão de Crédito,Enviado,181,20,14.38
28,3089,2020-11-07,Cartão de Crédito,Entregue,102,30,20.57
29,4410,2020-06-14,Cartão de Débito,Entregue,255,0,10.38
30,1417,2020-11-08,Cartão de Crédito,Pago,42,15,27.92
31,4775,2021-03-25,Cartão de Crédito,Entregue,222,10,35.75
32,4297,2025-05-21,Pix,Enviado,182,20,31.6
33,973,2024-11-18,Cartão de Crédito,Entregue,51,0,34.45
34,2504,2020-09-18,Pix,Entregue,251,0,18.41
35,3329,2023-02-11,Cartão de Crédito,Entregue,235,5,12.1
36,172,2021-11-19,Pix,Entregue,51,0,27.95
37,790,2020-01-16,Cartão de Débito,Entregue,101,30,41.27
38,1401,2020-09-12,Cartão de Crédito,Entregue,253,25,35.98
39,3963,2024-07-27,Pix,Entregue,141,30,41.78
40,891,2020-01-04,Cartão de Crédito,Enviado,201,5,41.3
41,1531,2025-03-03,Pix,Entregue,137,0,23.02
42,4410,2025-11-10,Pix,Enviado,256,0,25.28
43,4862,2024-09-12,Pix,Entregue,235,15,32.45
44,1235,2024-05-19,Cartão de Débito,Entregue,47,0,30.63
45,3672,2022-04-16,Cartão de Crédito,Cancelado,105,15,20.07
46,2441,2021-07-13,Cartão de Crédito,Entregue,236,0,36.3
47,3588,2024-06-11,Cartão de Crédito,Entregue,175,10,33.38
48,617,2025-09-16,Cartão de Crédito,Entregue,186,20,25.1
49,2813,2022-04-24,Cartão de Débito,Entregue,45,20,18.84
50,4956,2021-11-13,Cartão de Crédito,Entregue,155,0,12.38
51,502,2020-03-15,Cartão de Crédito,Entregue,61,30,11.86
52,338,2023-09-13,Cartão de Crédito,Entregue,177,25,17.69
53,3663,2024-02-26,Pix,Entregue,191,20,36.11
54,142,2024-01-04,Pix,Entregue,41,25,44.21
55,3931,2020-03-20,Pix,Pago,155,0,9.16
56,2224,2023-04-25,Pix,Entregue,110,0,22.56
57,4577,2024-06-29,Pix,Entregue,73,0,37.13
58,4894,2024-11-21,Boleto,Enviado,91,0,42.74
59,1766,2023-04-22,Cartão de Crédito,Entregue,171,20,19.23
60,1826,2024-11-25,Cartão de Débito,Entregue,101,5,19.56
61,2849,2022-06-12,Cartão de Débito,Entregue,257,0,35.42
62,557,2025-04-18,Pix,Cancelado,188,25,13.81
63,1401,2022-01-11,Cartão de Crédito,Entregue,232,15,11.75
64,689,2025-01-11,Pix,Pago,253,0,21.44
65,1887,2024-02-08,Pix,Entregue,83,30,35.08
66,4679,2025-02-24,Boleto,Entregue,182,15,16.56
67,3452,2020-12-06,Pix,Pago,91,30,41.98
68,3893,2022-03-15,Cartão de Crédito,Entregue,258,0,19.6
69,1743,2023-09-03,Cartão de Débito,Entregue,134,0,26.94
70,4068,2020-12-24,Pix,Entregue,134,20,29.79
71,3245,2021-07-13,Cartão de Débito,Entregue,235,20,17.69
72,4731,2020-03-10,Boleto,Entregue,221,0,11.52
73,2380,2023-03-23,Pix,Pendente,252,30,19.01
74,4017,2023-09-07,Cartão de Débito,Entregue,85,30,35.45
75,4991,2020-10-30,Cartão de Crédito,Entregue,72,25,41.25
76,2152,2023-09-08,Cartão de Débito,Entregue,78,25,36.14
77,859,2020-12-05,Pix,Entregue,181,15,35.82
78,654,2023-01-31,Pix,Pago,13,0,38.84
79,3484,2024-09-28,Cartão de Débito,Entregue,231,15,35.55
80,98,2023-07-28,Pix,Enviado,187,0,29.3
81,2582,2023-12-02,Pix,Entregue,257,30,20.14
82,2685,2020-09-06,Cartão de Crédito,Entregue,92,0,41.51
83,4912,2024-06-30,Pix,Entregue,231,0,31.19
84,2018,2020-12-18,Cartão de Débito,Entregue,159,25,29.02
85,2378,2022-10-05,Pix,Entregue,47,30,41.71
86,3456,2024-03-29,Pix,Entregue,43,0,21.98
87,3377,2020-11-09,Boleto,Entregue,251,15,31.48
88,2176,2020-06-24,Pix,Entregue,210,30,8.05
89,1709,2024-09-25,Cartão de Débito,Entregue,259,10,33.03
90,4714,2024-08-13,Cartão de Crédito,Entregue,231,0,29.08
91,4171,2025-02-03,Cartão de Débito,Entregue,129,5,38.75
92,175,2024-10-06,Boleto,Enviado,80,20,39.05
93,1684,2026-02-24,Pix,Entregue,176,5,15.93
94,2057,2021-01-21,Pix,Pendente,181,15,15.14
95,2167,2021-11-14,Pix,Pago,270,5,41.09
96,2290,2020-09-28,Cartão de Crédito,Entregue,257,10,11.69
97,1968,2026-03-06,Cartão de Crédito,Entregue,81,0,43.33
98,4705,2024-07-24,Pix,Entregue,181,10,37.36
99,1753,2021-12-07,Cartão de Débito,Entregue,41,5,19.3
100,99,2021-09-03,Cartão de Crédito,Entregue,224,0,36.82
101,1937,2024-05-20,Pix,Entregue,143,5,23.14
102,2565,2020-05-02,Pix,Cancelado,254,0,8.96
103,1407,2021-10-18,Cartão de Débito,Entregue,251,30,25.49
104,1521,2021-05-06,Pix,Pendente,258,10,35.51
105,52,2025-02-05,Pix,Cancelado,181,5,36.1
106,1182,2021-01-15,Pix,Entregue,151,10,35.95
107,2500,2025-01-01,Pix,Entregue,114,5,32.95
108,3853,2024-08-02,Cartão de Débito,Enviado,254,0,43.91
109,2874,2021-04-03,Pix,Entregue,41,15,43.34
110,3315,2023-03-15,Cartão de Débito,Entregue,138,30,23.83
111,4098,2025-11-22,Pix,Enviado,104,25,38.37
112,4020,2023-04-09,Pix,Entregue,85,0,22.94
113,2283,2026-01-22,Cartão de Crédito,Cancelado,104,30,13.84
114,3537,2022-02-06,Pix,Cancelado,259,5,35.51
115,13,2022-05-02,Pix,Entregue,121,20,17.2
116,4864,2021-03-31,Cartão de Crédito,Enviado,81,0,12.49
117,757,2024-04-23,Pix,Entregue,237,25,15.46
118,4439,2023-10-11,Boleto,Pendente,110,30,23.73
119,2002,2024-12-30,Cartão de Débito,Entregue,251,30,31.89
120,149,2022-02-13,Cartão de Crédito,Entregue,88,5,19.99
121,3658,2023-08-10,Cartão de Crédito,Entregue,45,10,39.94
122,1131,2022-12-29,Cartão de Débito,Entregue,97,30,41.68
123,4887,2023-03-29,Cartão de Débito,Entregue,261,30,20.83
124,1579,2024-08-12,Pix,Cancelado,110,0,8.31
125,4588,2021-07-25,Cartão de Crédito,Entregue,222,0,31.25
126,260,2020-09-06,Pix,Entregue,171,0,9.99
127,3755,2020-12-20,Cartão de Crédito,Entregue,257,0,29.01
128,2664,2022-07-08,Cartão de Crédito,Cancelado,248,10,19.55
129,2457,2024-04-17,Cartão de Crédito,Entregue,61,0,21.54
130,1220,2022-11-28,Cartão de Crédito,Entregue,185,20,27.79
131,1034,2025-02-22,Cartão de Crédito,Entregue,151,20,39.35
132,1066,2023-02-04,Cartão de Crédito,Entregue,10,20,39.54
133,660,2021-10-15,Pix,Entregue,236,0,37.83
134,1193,2021-05-29,Cartão de Débito,Entregue,189,10,34.86
135,3546,2022-11-01,Pix,Entregue,238,0,8.64
136,721,2021-05-21,Cartão de Crédito,Entregue,257,30,10.97
137,3515,2022-08-14,Cartão de Crédito,Entregue,103,30,37.83
138,150,2023-11-23,Boleto,Entregue,38,0,38.16
139,2286,2020-12-02,Cartão de Débito,Entregue,71,20,9.89
140,824,2025-08-31,Pix,Entregue,50,5,11.89
141,109,2022-05-09,Cartão de Débito,Entregue,110,25,35.66
142,860,2024-05-08,Boleto,Entregue,91,0,34.71
143,3823,2025-11-15,Pix,Entregue,103,5,43.45
144,978,2020-04-02,Cartão de Crédito,Pago,171,25,27.34
145,4905,2020-08-18,Boleto,Entregue,54,0,28.44
146,1662,2024-04-22,Pix,Entregue,184,15,38.99
147,869,2020-01-29,Pix,Enviado,182,30,21.55
148,2105,2023-04-15,Pix,Entregue,188,0,14.0
149,3735,2022-11-29,Cartão de Crédito,Entregue,44,15,10.45
150,1164,2021-01-01,Cartão de Débito,Pendente,107,0,22.37
151,2982,2020-07-09,Cartão de Crédito,Enviado,210,0,18.44
152,1820,2021-07-14,Cartão de Crédito,Entregue,109,0,19.15
153,612,2020-03-04,Pix,Entregue,101,0,21.95
154,2008,2022-08-04,Cartão de Débito,Entregue,160,30,11.36
155,2263,2025-08-04,Pix,Entregue,48,20,39.65
156,2761,2023-08-07,Pix,Entregue,139,0,41.52
157,2797,2024-01-23,Boleto,Entregue,183,25,13.95
158,3464,2025-03-09,Pix,Entregue,171,25,15.53
159,1884,2025-05-24,Pix,Entregue,151,5,27.61
160,1484,2024-04-19,Pix,Enviado,255,20,33.35
161,1524,2026-03-23,Pix,Entregue,222,10,13.04
162,554,2022-04-25,Cartão de Crédito,Pendente,11,25,23.45
163,4334,2024-11-01,Cartão de Crédito,Entregue,59,0,37.5
164,2742,2024-02-26,Pix,Entregue,122,30,42.91
165,2682,2025-01-14,Pix,Entregue,42,15,23.23
166,3796,2025-08-09,Pix,Pago,53,0,16.93
167,1067,2025-02-08,Cartão de Crédito,Entregue,131,0,25.84
168,3040,2025-06-30,Cartão de Crédito,Entregue,41,0,36.84
169,2198,2026-03-12,Pix,Entregue,45,0,38.92
170,2181,2022-01-25,Cartão de Débito,Entregue,152,30,8.94
171,159,2022-06-03,Boleto,Entregue,71,0,40.86
172,3386,2025-02-22,Pix,Entregue,190,0,39.93
173,4549,2020-01-22,Pix,Entregue,230,15,17.62
174,4506,2023-08-24,Cartão de Crédito,Entregue,256,25,33.93
175,4614,2024-10-24,Cartão de Crédito,Entregue,258,15,38.49
176,1683,2025-06-26,Cartão de Crédito,Entregue,187,0,26.71
177,2977,2024-08-17,Pix,Entregue,61,0,28.91
178,2452,2022-09-02,Cartão de Crédito,Pendente,82,5,14.41
